Internal_ID,Dataset_ID,NumberOf CellTypeLevel,CellTypeLevelUsed,NumberOfCells,BriefDescription / Notes,
3_Gabitto_MTG_Human_2023,10,3,2,164053,MTG region from a set of reference individuals from SEA-AD,
4_TorresFlores_Cerebellum_Human,21,1,1,1346,Cerebellum,
5_Jakel_WhiteMatter_Human_2019,2,2,1,6591,scRNAseq from white matter of post-mortem human brain from patients with MS (4) and from unaffected controls (5),
7_Siletti_CerebralCortex.PrCG.M1C_Human_2022,14,2,2,116443,Dissection: Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C,
8_Siletti_CerebralCortex.MTG_Human_2022,14,2,2,106652,Dissection: Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG,
9_Siletti_CerebralCortex.APH.MEC_Human_2022,14,2,2,50357,"Dissection: Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC",
10_Siletti_CerebralCortex.PaO.A43_Human_2022,14,2,2,42806,Dissection: Cerebral cortex (Cx) - Parietal operculum (PaO) - Gustatory cortex - A43,
11_Siletti_CerebralCortex.PPH.TH-TL_Human_2022,14,2,2,40610,Dissection: Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL,
12_Siletti_CerebralCortex.STG_Human_2022,14,2,2,40466,Dissection: Cerebral cortex (Cx) - Superior Temporal Gyrus - STG,
13_Siletti_CerebralCortex.LIG.Idg_Human_2022,14,2,2,39636,Dissection: Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg,
14_Siletti_CerebralCortex.SMG_Human_2022,14,2,2,39008,Dissection: Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40,
15_Siletti_CerebralCortex.Ig_Human_2022,14,2,2,38937,Dissection: Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig,
16_Siletti_CerebralCortex.IFG.A44-A45_Human_2022,14,2,2,38241,Dissection: Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45,
17_Siletti_CerebralCortex.PoCG.S1C_Human_2022,14,2,2,38174,Dissection: Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C,
18_Siletti_CerebralCortex.SCG.A25_Human_2022,14,2,2,37653,Dissection: Cerebral cortex (Cx) - Subcallosal Gyrus (SCG) - Subgenual (subcallosal) division of MFC - A25,
19_Siletti_CerebralCortex.TP.A38_Human_2022,14,2,2,37596,Dissection: Cerebral cortex (Cx) - Temporal pole (TP) - Temporopolar area - A38,
20_Siletti_CerebralCortex.Pir_Human_2022,14,2,2,36910,Dissection: Paleocortex (PalCx) - Piriform cortex - Pir,
21_Siletti_CerebralCortex.CgGC.A23_Human_2022,14,2,2,35349,Dissection: Cerebral cortex (Cx) - Caudal cingulate gyrus (CgGC) - A23,
22_Siletti_CerebralCortex.SPL.A5-A7_Human_2022,14,2,2,35285,Dissection: Cerebral cortex (Cx) - Supraparietal lobule (SPL) - Posterosuperior (dorsal) parietal cortex - A5-A7,
23_Siletti_CerebralCortex.FI_Human_2022,14,2,2,34943,Dissection: Cerebral cortex (Cx) - Frontal agranular insular cortex - FI,
24_Siletti_CerebralCortex.POrG.A13_Human_2022,14,2,2,34904,Dissection: Cerebral cortex (Cx) - Posterior intermediate orbital gyrus (POrG) - Caudal division of OFCi - A13,
25_Siletti_CerebralCortex.CgGrs.A29-A30_Human_2022,14,2,2,34067,"Dissection: Cerebral cortex (Cx) - Cingulate gyrus, retrosplenial (CgGrs) - A29-A30",
26_Siletti_CerebralCortex.LiG.V1C_Human_2022,14,2,2,33481,Dissection: Cerebral cortex (Cx) - Lingual gyrus (LiG) - Primary Visual Cortex - V1C,
27_Siletti_CerebralCortex.TTG.A1C_Human_2022,14,2,2,32783,Dissection: Cerebral cortex (Cx) - Transverse temporal gyrus (TTG) - Primary auditory cortex - A1C,
28_Siletti_CerebralCortex.AG.LEC_Human_2022,14,2,2,32730,Dissection: Cerebral cortex (Cx) - Anterior parahippocampal gyrus (AG) - Lateral entorhinal cortex - LEC,
