ID,Tissue,Region,Developmental_Stage,FirstAuthor,Year_Published,Number of cells (before filtering),Number of cells (rounding),Sequencing technique,Number of donors,Number of female donors,Number of male donors,PMID,Title,Link,Species,Access date,Additional notes
1,Brain,"Neocortex: parietal lobe, hippocampal formation, primary visual cortex, medial ganglionic eminence, caudal ganglionic eminence, orbitofrontal cortex, anterior cingulate cortex",Midgestational (22nd week post-fertilization human stage),Smith,2021,"118,647",~120k,Drop-seq,1,sex is unknown,sex in unknown,34161264,"Early role for a Na+,K+-ATPase (ATP1A3) in brain development",https://pubmed.ncbi.nlm.nih.gov/34161264/,Human,12/25/2023,
,,"Neocortex: prefrontal cortex, temporal lobe, parietal lobe, primary visual cortex",Infant (7-month-old human stage),,,"51,878",~50k,,1,sex is unknown,sex in unknown,,,,,,
2,Brain,White matter,Adult,Jakel,2019,"17.799 cells total
6.591 are from humans",~7000 human cells,10x 3' v2,5,1,4,30747918,Altered human oligodendrocyte heterogeneity in multiple sclerosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544546/,Human,1/19/2024,
3,Brain,entorhinal cortex,Adult,Leng,2021,"9,730",~10k,10x 3' v2,3,0,3,33432193,Molecular characterization of selectively vulnerable neurons in Alzheimer's disease,https://www.nature.com/articles/s41593-020-00764-7,Human,5/29/2024,
,,superior frontal gyrus,,,,"12,646",~12k,10x 3' v2,3,0,3,,,,,,
4,Brain,Cerebellum,"Prenatal (9 wpc, 10 wpc, 11 wpc, 12 wpc, 14 wpc, 17 wpc, 18 wpc, 20 wpc, 21 wpc) ",Aldinger,2021,"69,174",~69k,SPLiT-seq,13,6,7,34140698,Spatial and cell type transcriptional landscape of human cerebellar development,https://pubmed.ncbi.nlm.nih.gov/34140698/,Human,1/8/2024,
5,Brain,"Neocortex: prefrontal cortex, primary motor cortex, parietal cortex, primary somatosensory cortex, temporal cortex, primary visual cortex",Prenaral (second trimester),Bhaduri,2021,"457,965",~450k,10x 3' v2,13,sex is unknown,sex in unknown,34616070,An atlas of cortical arealization identifies dynamic molecular signatures,https://pubmed.ncbi.nlm.nih.gov/34616070/,Human,1/8/2024,
6,Brain,M1 (primary motor cortex),Adult,Bakken,2021,"20,490",~20k,10x 3' v3,2,1,1,34616062,"Comparative cellular analysis of motor cortex in human, marmoset and mouse",https://pubmed.ncbi.nlm.nih.gov/34616062/,Human,1/8/2024,
7,Brain,Substantia nigra,Adult,Kamath,2022,"369,346",~370k,10x 3' v3,8,6,2,35513515,Single-cell genomic profiling of human dopamine neurons identifies a population that selectively degenerates in Parkinson's disease,https://pubmed.ncbi.nlm.nih.gov/35513515/,Human,5/30/2024,
8,Brain,Prefrontal cortex (NFTs),Adult,Otero-Garcia,2022,"57,534",~58k,10x 3' v2 and 10x 3' v3,8,3,5,35882228,Molecular signatures underlying neurofibrillary tangle susceptibility in Alzheimer's disease.,https://europepmc.org/article/med/35882228,Human,1/17/2024,
9,Brain,Dorsalateral prefrontal cortex,Adult,Ma,2022,"172,120",~170k,10x 3' v3,4,1,3,36007006,Molecular and cellular evolution of the primate dorsolateral prefrontal cortex,https://pubmed.ncbi.nlm.nih.gov/36007006/,Human,1/16/2024,
10,Brain,MTG,Adult,Gabitto,2023,"164,053",~160k,10x 3',5,2,3,,Integrated multimodal cell atlas of Alzheimer’s disease,https://www.nature.com/articles/s41593-024-01774-5,Human,6/12/2023,
11,Brain,"White matter from BA4, CB, and CSC",Adult,Seeker,2023,"45,528",~45k,10x 3' v3,20,10,10,37217978,"Brain matters: unveiling the distinct contributions of region, age, and sex to glia diversity and CNS function",https://pubmed.ncbi.nlm.nih.gov/37217978/,Human,1/16/2024,
12,Brain,Frontal and Occipital cortex,Adult,Gittings,2023,"115,568",~100k,10x 3' v3,"12 (frontal cortex)
10 (occipital cortex)","6 (frontal cortex)
4 (occipital cortex)","6 (frontal cortex)
6 (occipital cortex)",37466726,Cryptic exon detection and transcriptomic changes revealed in single-nuclei RNA sequencing of C9ORF72 patients spanning the ALS-FTD spectrum,https://pubmed.ncbi.nlm.nih.gov/37466726/,Human,1/22/2024,
13,Brain,MTG,Adult,Jorstad,2023,"156,285",~150k,10x 3' v3,5,2,3,37824638,Comparative transcriptomics reveals human-specific cortical features,https://pubmed.ncbi.nlm.nih.gov/37824638/,Human,12/18/2023,
,,,,,,,,Smart-seq,3,1,2,,,,,,
14,Brain,10 regions,Adult,Siletti,2023,"3,369,399",~3.3m,10x 3' v3,3,0,"3
From the paper: Brain specimens meeting these criteria, and for which whole brain hemispheres could be obtained for the current study, were quite rare and with a heavy male bias. Between 2018 and 2022, a total of 16 donors met these criteria, with only three female donors that ultimately failed quality control (QC) criteria. The three donors passing all exclusionary and QC criteria were male.",37824663,Transcriptomic diversity of cell types across the adult human brain,https://pubmed.ncbi.nlm.nih.gov/37824663/,Human,5/4/2023,
15,Brain,"Neocortex: cortical plate, dorsolateral prefrontal cortex","18-19 GW, 23-24 GW, 0 year, 4-6 years, 14 years, 20-39 years",Zhu,2023,"45,549",~50k,10x multiome,12,7,5,37824614,Multi-omic profiling of the developing human cerebral cortex at the single-cell level,https://pubmed.ncbi.nlm.nih.gov/37824614/,Human,12/24/2023,
16,Brain,Neocortex,Adult,Jorstad,2023,"1,155,822",~1.15m,10x 3' v3,5,2,"3 
(Tissue samples from five individuals (3 males, 2 females, mean postmortem interval 12.8 hours, mean age 47 years, table S2) were used for snRNA-seq data generation.)",37824655,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://pubmed.ncbi.nlm.nih.gov/37824655/,Human,1/10/2024,
,,,,,,"49,417",~49k,Smart-seq,,,,,,,,,
17,Brain,Mostly cortex and ganglionic eminences,"2nd trimester, 3rd trimester, 0-1 years, 1-2 years, 2-4 years, 4-10 years, 10-20 years, and Adult",Velmeshev,2023,"413,682 (before filteirng)
358,663 (after filtering)
709,372 (after integrating)",~350k & ~700k (after integration),"10x 3' v2, 10x 3' v3,  and 10x multiome","2nd trimester: 30
3rd trimester: 13
0-1 year: 11
1-2 year: 6
2-4 year: 8
4-10 year: 8
10-20 year: 15
Adult: 13","2nd trimester: 11F
3rd trimester: 8F
0-1 year: 5F
1-2 year: 2F
2-4 year: 4F
4-10 year: 1F
10-20 year: 7F
Adult: 7F","2nd trimester: 19M
3rd trimester: 5M
0-1 year: 6M
1-2 year: 4M
2-4 year: 4M
4-10 year: 7M
10-20 year: 8M
Adult: 6M",37824647,Single-cell analysis of prenatal and postnatal human cortical development,https://pubmed.ncbi.nlm.nih.gov/37824647/,Human,12/19/2023,
18,Brain,Cerebellum,"7 wpc, 8 wpc, 9 wpc, 11 wpc, 17 wpc, 20 wpc, newborn, infant, toddler, and adult",Sepp,2023,"163,283 (normal. Human)",~160k,10x 3' v2 and 10x 3' v3,27,11,16,38029793,Cellular development and evolution of the mammalian cerebellum,https://pubmed.ncbi.nlm.nih.gov/38029793/,Human,12/21/2023,
